current_part_number,proposed_part_number,confidence,reason,name,spec_frequency,url
ABM8-24.000MHZ-12-B1U-T,ABM8-25.000MHZ-D1X-T,HIGH,name's part number and spec frequency agree; part_number field looks misaligned,Abracon ABM8-25.000MHZ-D1X-T 25MHz 18pF 3225 SMD Crystal,25MHz,https://songglow.com/components/crystals/ABM8-24.000MHZ-12-B1U-T
ABM8-25.000MHZ-D1X-T,ABM8-16.000MHZ-D1X-T,HIGH,name's part number and spec frequency agree; part_number field looks misaligned,Abracon ABM8-16.000MHZ-D1X-T 16MHz 18pF 3225 SMD Crystal,16MHz,https://songglow.com/components/crystals/ABM8-25.000MHZ-D1X-T
CM7V-T1A-32.768KHZ-7PF-20PPM-TA-QC,CM7V-T1A-32.768KHZ-12.5PF-20PPM-TA-QC,HIGH,name's part number and spec frequency agree; part_number field looks misaligned,Micro Crystal CM7V-T1A-32.768KHZ-12.5PF-20PPM-TA-QC 32.768kHz 12.5pF 3215 SMD Crystal,32.768kHz,https://songglow.com/components/crystals/CM7V-T1A-32.768KHZ-7PF-20PPM-TA-QC
ABM8G-12.000MHZ-4Y-T3,ABM3-12.000MHZ-D2Y-T,HIGH,name's part number and spec frequency agree; part_number field looks misaligned,Abracon ABM3-12.000MHZ-D2Y-T 12MHz 18pF HC-49S SMD Crystal,12MHz,https://songglow.com/components/crystals/ABM8G-12.000MHZ-4Y-T3
CM8V-T1A-32.768KHZ-7PF-20PPM-TA-QC,CM8V-T1A-32.768KHZ-9PF-20PPM-TA-QC,HIGH,name's part number and spec frequency agree; part_number field looks misaligned,Micro Crystal CM8V-T1A-32.768KHZ-9PF-20PPM-TA-QC 32.768kHz 9pF 3215 SMD Crystal,32.768kHz,https://songglow.com/components/crystals/CM8V-T1A-32.768KHZ-7PF-20PPM-TA-QC
CM8V-T1A-32.768KHZ-9PF-20PPM-TA-QC,CM8V-T1A-32.768KHZ-12.5PF-20PPM-TA-QC,HIGH,name's part number and spec frequency agree; part_number field looks misaligned,Micro Crystal CM8V-T1A-32.768KHZ-12.5PF-20PPM-TA-QC 32.768kHz 12.5pF 3215 SMD Crystal,32.768kHz,https://songglow.com/components/crystals/CM8V-T1A-32.768KHZ-9PF-20PPM-TA-QC
CM8V-T1A-32.768KHZ-9PF-20PPM-TB-QA,CM8V-T1A-32.768KHZ-12.5PF-20PPM-TB-QA,HIGH,name's part number and spec frequency agree; part_number field looks misaligned,Micro Crystal CM8V-T1A-32.768KHZ-12.5PF-20PPM-TB-QA 32.768kHz 12.5pF 3215 SMD Crystal,32.768kHz,https://songglow.com/components/crystals/CM8V-T1A-32.768KHZ-9PF-20PPM-TB-QA
ECS-320-10-37B-CKY-TR,ECS-240-12-37B-CKY-TR,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. ECS-240-12-37B-CKY-TR 24MHz 12pF 2016 SMD Crystal,24MHz,https://songglow.com/components/crystals/ECS-320-10-37B-CKY-TR
ECS-240-12-37B-CKY-TR,ECS-400-10-37B2-CKY-TR,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. ECS-400-10-37B2-CKY-TR 40MHz 10pF 2016 SMD Crystal,40MHz,https://songglow.com/components/crystals/ECS-240-12-37B-CKY-TR
ECS-400-10-37B2-CKY-TR,"0,032768-SMQ32SL-12,5-20-T1-LF",LOW,name's part number and spec frequency disagree - verify manually,"Jauch Q 0,032768-SMQ32SL-12,5-20-T1-LF 32.768kHz 12.5pF 3215 SMD Crystal",32.768kHz,https://songglow.com/components/crystals/ECS-400-10-37B2-CKY-TR
