part_number,name,spec_frequency,name_contains_part_number,url
ECS-320-10-37B-CKY-TR,ECS Inc. ECS-240-12-37B-CKY-TR 24MHz 12pF 2016 SMD Crystal,24MHz,NO,https://songglow.com/components/crystals/ECS-320-10-37B-CKY-TR
ECS-240-12-37B-CKY-TR,ECS Inc. ECS-400-10-37B2-CKY-TR 40MHz 10pF 2016 SMD Crystal,40MHz,NO,https://songglow.com/components/crystals/ECS-240-12-37B-CKY-TR
ECS-400-10-37B2-CKY-TR,"Jauch Q 0,032768-SMQ32SL-12,5-20-T1-LF 32.768kHz 12.5pF 3215 SMD Crystal",32.768kHz,NO,https://songglow.com/components/crystals/ECS-400-10-37B2-CKY-TR
TSX-3225 24.0000MF15X-AC6,Epson TSX-3225 16.0000MF18X-AC0 16MHz 18pF 3225 SMD Crystal,16MHz,NO,https://songglow.com/components/crystals/TSX-3225-24.0000MF15X-AC6
TSX-3225 16.0000MF18X-AC0,Epson TSX-3225 24.0000MF15X-AC0 24MHz 15pF 3225 SMD Crystal,24MHz,NO,https://songglow.com/components/crystals/TSX-3225-16.0000MF18X-AC0
TSX-3225 24.0000MF15X-AC0,Epson TSX-3225 25.0000MF18X-G0 25MHz 18pF 3225 SMD Crystal,25MHz,NO,https://songglow.com/components/crystals/TSX-3225-24.0000MF15X-AC0
TSX-3225 25.0000MF18X-G0,Epson TSX-3225 26.0000MF10Z-B6 26MHz 10pF 3225 SMD Crystal,26MHz,NO,https://songglow.com/components/crystals/TSX-3225-25.0000MF18X-G0
ABM8-24.000MHZ-12-B1U-T,Abracon ABM8-25.000MHZ-D1X-T 25MHz 18pF 3225 SMD Crystal,25MHz,NO,https://songglow.com/components/crystals/ABM8-24.000MHZ-12-B1U-T
ABM8-25.000MHZ-D1X-T,Abracon ABM8-16.000MHZ-D1X-T 16MHz 18pF 3225 SMD Crystal,16MHz,NO,https://songglow.com/components/crystals/ABM8-25.000MHZ-D1X-T
CM8V-T1A-32.768KHZ-6PF-20PPM-TA-QC,Micro Crystal CM8V-T1A-32.768KHZ-6PF-20PPM-TA-QC 12MHz 18pF 3225 SMD Crystal,12MHz,yes,https://songglow.com/components/crystals/CM8V-T1A-32.768KHZ-6PF-20PPM-TA-QC
ABM8G-12.000MHZ-18-D2Y-T,Abracon ABM8G-12.000MHZ-18-D2Y-T 32.768KHZ-7PF-20PPM-TA-QC 32.768kHz 7pF 3215 SMD Crystal,32.768kHz,yes,https://songglow.com/components/crystals/ABM8G-12.000MHZ-18-D2Y-T
CM7V-T1A-32.768KHZ-7PF-20PPM-TA-QC,Micro Crystal CM7V-T1A-32.768KHZ-12.5PF-20PPM-TA-QC 32.768kHz 12.5pF 3215 SMD Crystal,32.768kHz,NO,https://songglow.com/components/crystals/CM7V-T1A-32.768KHZ-7PF-20PPM-TA-QC
HCM4916000000ABJT,Citizen HCM4910000000ABJT 10MHz 12pF HC-49S SMD Crystal,10MHz,NO,https://songglow.com/components/crystals/HCM4916000000ABJT
ABM8G-25.000MHZ-18-D2Y-T,Abracon ABM8G-25.000MHZ-18-D2Y-T 24MHz 30pF 3225 SMD Crystal,24MHz,yes,https://songglow.com/components/crystals/ABM8G-25.000MHZ-18-D2Y-T
ABM8G-24.000MHZ-18-D2Y-T,Citizen HCM494000000ABJT 4MHz 12pF HC-49S SMD Crystal,4MHz,NO,https://songglow.com/components/crystals/ABM8G-24.000MHZ-18-D2Y-T
ABM8G-16.000MHZ-18-D2Y-T,Abracon ABM8G-16.000MHZ-18-D2Y-T 24MHz 8pF 3225 SMD Crystal,24MHz,yes,https://songglow.com/components/crystals/ABM8G-16.000MHZ-18-D2Y-T
ABM8-25.000MHZ-D2Y-T,Abracon ABM8-25.000MHZ-D2Y-T 32.768KHZ-6PF-20PPM-TA-QC 32.768kHz 6pF 3215 SMD Crystal,32.768kHz,yes,https://songglow.com/components/crystals/ABM8-25.000MHZ-D2Y-T
CM7V-T1A-32.768KHZ-6PF-20PPM-TA-QC,Micro Crystal CM7V-T1A-32.768KHZ-6PF-20PPM-TA-QC 25MHz 18pF 3225 SMD Crystal,25MHz,yes,https://songglow.com/components/crystals/CM7V-T1A-32.768KHZ-6PF-20PPM-TA-QC
ABM3-10.000MHZ-D2Y-T,Abracon ABM3-10.000MHZ-D2Y-T 25MHz 20pF HC-49US SMD Crystal,25MHz,yes,https://songglow.com/components/crystals/ABM3-10.000MHZ-D2Y-T
ABM10W-40.0000MHZ-8-B1U-T3,Abracon ABM10W-40.0000MHZ-8-B1U-T3 32.768kHz 12.5pF 3215 SMD Crystal,32.768kHz,yes,https://songglow.com/components/crystals/ABM10W-40.0000MHZ-8-B1U-T3
ABM8W-16.0000MHZ-8-K1Z-T3,Abracon ABM8W-16.0000MHZ-8-K1Z-T3 32MHz 10pF 3225 SMD Crystal,32MHz,yes,https://songglow.com/components/crystals/ABM8W-16.0000MHZ-8-K1Z-T3
ABM3-24.000MHZ-D2Y-T,Abracon ABM3-24.000MHZ-D2Y-T 32.768kHz 7pF 3215 SMD Crystal,32.768kHz,yes,https://songglow.com/components/crystals/ABM3-24.000MHZ-D2Y-T
CM9V-T1A-32.768KHZ-7PF-20PPM-TA-QC,Micro Crystal CM9V-T1A-32.768KHZ-7PF-20PPM-TA-QC 32MHz 12pF 3225 SMD Crystal,32MHz,yes,https://songglow.com/components/crystals/CM9V-T1A-32.768KHZ-7PF-20PPM-TA-QC
CS01188-27.12M,NDK LFXTAL055299 24MHz 12pF 3225 SMD Crystal,24MHz,NO,https://songglow.com/components/crystals/CS01188-27.12M
LFXTAL055299,CSR (Qualcomm) CS01188-27.12M 27.12MHz 10pF 3225 SMD Crystal,27.12MHz,NO,https://songglow.com/components/crystals/LFXTAL055299
CM7V-T1A-32.768KHZ-7PF-20PPM-TB-QA,Micro Crystal CM7V-T1A-32.768KHZ-7PF-20PPM-TB-QA 25MHz 8pF 3225 SMD Crystal,25MHz,yes,https://songglow.com/components/crystals/CM7V-T1A-32.768KHZ-7PF-20PPM-TB-QA
ABM8-16.000MHZ-B2-T,CSR (Qualcomm) CS11337-27.12M 27.12MHz 10pF 3225 SMD Crystal,27.12MHz,NO,https://songglow.com/components/crystals/ABM8-16.000MHZ-B2-T
ECS-80-12-33-JGN-TR,ECS Inc. ECS-.327-12.5-34R-C-TR 32.768kHz 12.5pF 3215 SMD Crystal,32.768kHz,NO,https://songglow.com/components/crystals/ECS-80-12-33-JGN-TR
ECS-.327-12.5-34R-C-TR,ECS Inc. ECS-80-18-33-JGN-TR 8MHz 18pF 3225 SMD Crystal,8MHz,NO,https://songglow.com/components/crystals/ECS-.327-12.5-34R-C-TR
FL2400022,Diode FL2500316Z 25MHz 16pF 3225 SMD Crystal,25MHz,NO,https://songglow.com/components/crystals/FL2400022
FL2500316Z,Diode FL2500133 25MHz 12pF 3225 SMD Crystal,25MHz,NO,https://songglow.com/components/crystals/FL2500316Z
ABM8G-12.000MHZ-4Y-T3,Abracon ABM3-12.000MHZ-D2Y-T 12MHz 18pF HC-49S SMD Crystal,12MHz,NO,https://songglow.com/components/crystals/ABM8G-12.000MHZ-4Y-T3
ABM3-25.000MHZ-D2Y-T,Abracon ABM3-25.000MHZ-D2Y-T 32.768kHz 7pF 3215 SMD Crystal,32.768kHz,yes,https://songglow.com/components/crystals/ABM3-25.000MHZ-D2Y-T
"Q 0,032768-JTX310-12,5-20-T1-LF","Jauch Quartz 0,032768-JTX310-12,5-20-T1-LF 32.768kHz 12.5pF 3215 SMD Crystal",32.768kHz,NO,https://songglow.com/components/crystals/Q-0-032768-JTX310-12-5-20-T1-LF
ECS-240-8-37B-CKY-TR,ECS Inc. ECS-320-8-37B2-CTN-TR 32MHz 8pF 2016 SMD Crystal,32MHz,NO,https://songglow.com/components/crystals/ECS-240-8-37B-CKY-TR
ATS080BSM-1E,CTS ATS080BSM-1 8MHz 20pF HC-49S SMD Crystal,8MHz,NO,https://songglow.com/components/crystals/ATS080BSM-1E
ABM8-27.120MHZ-10-D1G-T,Abracon ABM8-27.120MHZ-10-D1G-T 32.768kHz 7pF 3215 SMD Crystal,32.768kHz,yes,https://songglow.com/components/crystals/ABM8-27.120MHZ-10-D1G-T
CM8V-T1A-32.768KHZ-7PF-20PPM-TA-QC,Micro Crystal CM8V-T1A-32.768KHZ-9PF-20PPM-TA-QC 32.768kHz 9pF 3215 SMD Crystal,32.768kHz,NO,https://songglow.com/components/crystals/CM8V-T1A-32.768KHZ-7PF-20PPM-TA-QC
CM8V-T1A-32.768KHZ-9PF-20PPM-TA-QC,Micro Crystal CM8V-T1A-32.768KHZ-12.5PF-20PPM-TA-QC 32.768kHz 12.5pF 3215 SMD Crystal,32.768kHz,NO,https://songglow.com/components/crystals/CM8V-T1A-32.768KHZ-9PF-20PPM-TA-QC
LFXTAL003000,Jauch Quartz Epson FA-128 32.0000MF10Z-AJ0 32MHz 10pF 2016 SMD Crystal,32MHz,NO,https://songglow.com/components/crystals/LFXTAL003000
ABM8W-25.0000MHZ-8-D1X-T3,Abracon ABM8W-25.0000MHZ-8-D1X-T3 32MHz 10pF 2016 SMD Crystal,32MHz,yes,https://songglow.com/components/crystals/ABM8W-25.0000MHZ-8-D1X-T3
FA-128 32.0000MF20X-K5,Epson ECS-.327-9-34B-TR 32.768kHz 9pF 3215 SMD Crystal,32.768kHz,NO,https://songglow.com/components/crystals/FA-128-32.0000MF20X-K5
FA-128 32.0000MF10Z-AJ5,Epson FA-128 32.0000MF20X-K5 32MHz 20pF 2016 SMD Crystal,32MHz,NO,https://songglow.com/components/crystals/FA-128-32.0000MF10Z-AJ5
ECS-.327-9-34B-TR,Citizen CM13032768DZFT 32.768kHz 12.5pF 3215 SMD Crystal,32.768kHz,NO,https://songglow.com/components/crystals/ECS-.327-9-34B-TR
ABS25-32.768KHZ-T,Abracon ABS25-32.768KHZ-T 25MHz 18pF 3225 SMD Crystal,25MHz,yes,https://songglow.com/components/crystals/ABS25-32.768KHZ-T
ABM8-25.000MHZ-B2-T,Abracon ABM8-25.000MHZ-B2-T 12MHz 12pF HC-49S SMD Crystal,12MHz,yes,https://songglow.com/components/crystals/ABM8-25.000MHZ-B2-T
HCM4912000000ABJT,Citizen HCM498000000ABJT 8MHz 12pF HC-49S SMD Crystal,8MHz,NO,https://songglow.com/components/crystals/HCM4912000000ABJT
CM8V-T1A-32.768KHZ-12.5PF-20PPM-TB-QA,Micro Crystal CM8V-T1A-32.768KHZ-12.5PF-20PPM-TB-QA 25MHz 12pF HC-49S SMD Crystal,25MHz,yes,https://songglow.com/components/crystals/CM8V-T1A-32.768KHZ-12.5PF-20PPM-TB-QA
CM8V-T1A-32.768KHZ-9PF-20PPM-TB-QA,Micro Crystal CM8V-T1A-32.768KHZ-12.5PF-20PPM-TB-QA 32.768kHz 12.5pF 3215 SMD Crystal,32.768kHz,NO,https://songglow.com/components/crystals/CM8V-T1A-32.768KHZ-9PF-20PPM-TB-QA
HCM4925000000ABJT,Citizen HCM497372800ABJT 7.3728MHz 12pF HC-49S SMD Crystal,7.3728MHz,NO,https://songglow.com/components/crystals/HCM4925000000ABJT
HCM497372800ABJT,Citizen HCM4920000000ABJT 20MHz 12pF HC-49S SMD Crystal,20MHz,NO,https://songglow.com/components/crystals/HCM497372800ABJT
CM7V-T1A-32.768KHZ-12.5PF-20PPM-TB-QA,Micro Crystal CM7V-T1A-32.768KHZ-12.5PF-20PPM-TB-QA 18pF HC-49S SMD Crystal,20MHz,yes,https://songglow.com/components/crystals/CM7V-T1A-32.768KHZ-12.5PF-20PPM-TB-QA
ECS-.327-12.5-34B-C-TR,ECS Inc. ECS-80-20-5G3XDS-TR 8MHz 20pF HC-49US SMD Crystal,8MHz,NO,https://songglow.com/components/crystals/ECS-.327-12.5-34B-C-TR
ECS-80-20-5G3XDS-TR,ECS Inc. ECS-384-CDX-1983 38.4MHz 7pF 2016 SMD Crystal,38.4MHz,NO,https://songglow.com/components/crystals/ECS-80-20-5G3XDS-TR
CM9V-T1A-32.768KHZ-9PF-20PPM-TA-QC,Micro Crystal CM9V-T1A-32.768KHZ-9PF-20PPM-TA-QC 16MHz 10pF 2016 SMD Crystal,16MHz,yes,https://songglow.com/components/crystals/CM9V-T1A-32.768KHZ-9PF-20PPM-TA-QC
ABM11-16.000MHZ-D2X-T3,Abracon ABM11-16.000MHZ-D2X-T3 32.768kHz 12.5pF 3215 SMD Crystal,32.768kHz,yes,https://songglow.com/components/crystals/ABM11-16.000MHZ-D2X-T3
ABM3-16.000MHZ-D2Y-T,Abracon ABM3-16.000MHZ-D2Y-T 12MHz 12pF 2520 SMD Crystal,12MHz,yes,https://songglow.com/components/crystals/ABM3-16.000MHZ-D2Y-T
CM315D32768DZFT,Citizen CM315D32768DZCT 32.768kHz 12.5pF 3215 SMD Crystal,32.768kHz,NO,https://songglow.com/components/crystals/CM315D32768DZFT
ABM3-8.000MHZ-D2Y-T,Abracon ABM3-8.000MHZ-D2Y-T 24MHz 10pF 3225 SMD Crystal,24MHz,yes,https://songglow.com/components/crystals/ABM3-8.000MHZ-D2Y-T
ECS-320-8-37B2-CTN-TR,ECS Inc. ECS-320-10-37B-CKY-TR 32MHz 10pF 2016 SMD Crystal,32MHz,NO,https://songglow.com/components/crystals/ECS-320-8-37B2-CTN-TR
ABM10-166-12.000MHZ-T3,Abracon ABM10-166-12.000MHZ-T3 25MHz 12.5pF 3225 SMD Crystal,25MHz,yes,https://songglow.com/components/crystals/ABM10-166-12.000MHZ-T3
SG-210STF 50.0000ML0,EPSON XTAL OSC XO 50.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/SG-210STF-50.0000ML0
SG-210STF 24.0000ML0,EPSON XTAL OSC XO 24.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/SG-210STF-24.0000ML0
SG-210STF 12.2880ML0,EPSON XTAL OSC XO 12.2880MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/SG-210STF-12.2880ML0
SG-210STF 25.0000ML0,EPSON XTAL OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/SG-210STF-25.0000ML0
"O 25,0-JO32-B-1V3-1-T1-LF",Jauch Quartz XTAL OSC XO 25.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/O-25-0-JO32-B-1V3-1-T1-LF
COM1305-50.000-EXT-T-TR,Raltron Electronics XTAL OSC XO 50MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/COM1305-50.000-EXT-T-TR
ECS-2333-160-BN-TR,ECS Inc. XTAL OSC XO 16.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2333-160-BN-TR
ECS-2333-500-BN-TR,ECS Inc. XTAL OSC XO 50.0000MHZ HCMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2333-500-BN-TR
ASDDV-25.000MHZ-LC-T,Abracon LLC OSC XO 25.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASDDV-25.000MHZ-LC-T
ASDDV-50.000MHZ-LR-T,Abracon LLC OSC XO 50.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASDDV-50.000MHZ-LR-T
ASE-1.8432MHZ-L-C-T,Abracon LLC XTAL OSC XO 1.8432MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-1.8432MHZ-L-C-T
ECS-2033-240-BN,ECS Inc. XTAL OSC XO 24.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2033-240-BN
ASE3-27.000MHZ-K-T,Abracon LLC XTAL OSC XO 27.0000MHZ CMOS SMD,,NO,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE3-27.000MHZ-K-T
