part_number,section,occurrences,csv_lines,status
RC0603FR-0710KL,components,2,3 & 1196,"DIFFER in category, datasheet_url, manufacturer, name, specs"
A7C0EB107M1EAAS065,components,2,4 & 7,"DIFFER in datasheet_url, name, specs"
35PKV470M10X12.5,components,2,59 & 699,"DIFFER in datasheet_url, specs"
50PZJ180M10X11,components,3,60 & 103 & 682,DIFFER in datasheet_url
25PZE330M10X9,components,3,63 & 221 & 728,DIFFER in datasheet_url
35PFV270M10X10.5,components,3,70 & 165 & 627,"DIFFER in datasheet_url, specs"
63PFV56M10X10.5,components,2,73 & 736,"DIFFER in datasheet_url, specs"
50PFV33M6.3X8,components,3,75 & 101 & 619,"DIFFER in datasheet_url, specs"
35PZJ330M10X9,components,2,83 & 614,identical
50PEV100M10X10.5,components,2,84 & 600,identical
63PZJ150M10X15,components,2,85 & 609,identical
35PJV100M6.3X8,components,2,86 & 601,identical
35PZK220M8X9,components,2,87 & 611,identical
35PKV220M8X10.5,components,2,88 & 605,identical
63PZJ47M8X9,components,2,89 & 667,identical
80PFV22M8X10.5,components,2,90 & 620,identical
50PZE68M8X9,components,2,91 & 713,identical
35PSV150M8X10.5,components,2,92 & 742,identical
35CZE270M10X9,components,2,93 & 606,identical
50PZH100M10X9,components,2,94 & 655,identical
50PZE100M10X9,components,2,95 & 621,identical
63PZE56M10X9,components,2,96 & 738,identical
35PZF270MT810X9,components,2,97 & 602,identical
35PFV150M8X10.5,components,2,98 & 615,identical
63PZF56M10X9,components,2,99 & 679,identical
25PFV100M6.3X8,components,2,100 & 604,identical
35PZH330M10X11,components,2,102 & 613,identical
50PZF100M10X9,components,2,104 & 610,identical
50PFV100M10X10.5,components,2,105 & 612,identical
50PZJ220M10X15,components,2,106 & 642,identical
35PZJ560M10X15,components,2,107 & 653,identical
63PZH100M10X15,components,2,108 & 654,identical
35PJV560M10X16.5,components,2,109 & 650,identical
50PJV220M10X16.5,components,2,110 & 622,identical
50PZH270M10X20,components,2,111 & 607,identical
35PZH680M10X20,components,2,112 & 603,identical
25PJV150M6.3X8,components,2,113 & 624,identical
25PZK330M8X9,components,2,114 & 659,identical
25PEV100M6.3X8,components,2,115 & 636,identical
25CZE220M8X9,components,2,116 & 710,identical
50CZE68M8X9,components,2,117 & 792,identical
25CEV220M8X10.5,components,2,118 & 661,identical
